nombre;abusividad del clausulado;acreditación deuda;legitimación activa;legitimaciión pasiva;prescripción;transparencia;usura;validez de la firma;demandante;demandado;favorable
SAP_CC_1129_2024;0;1;1;0;1;0;0;0;1;0;1
SAP_CE_52_2025;1;1;0;0;1;0;1;0;1;0;0
SAP_CE_94_2025;1;1;0;0;0;1;0;0;1;0;0
SAP_CR_644_2025;0;0;0;0;1;0;0;0;1;0;1
SAP_CS_253_2025;1;1;0;0;0;1;1;0;1;0;0
SAP_CS_51_2025;1;0;0;0;0;1;0;0;1;0;1
SAP_CU_85_2025;0;0;0;0;0;0;0;0;0;1;0
SAP_C_1128_2025;1;1;1;0;0;0;0;0;1;0;1
SAP_C_1228_2025;0;0;1;1;0;0;0;0;1;0;1
SAP_C_1262_2025;0;1;0;0;1;0;0;0;1;0;0
SAP_C_161_2025;1;1;0;0;0;1;0;0;1;0;0
SAP_C_168_2025;0;1;0;1;0;0;0;0;0;1;0
SAP_C_209_2025;1;0;0;1;0;0;0;0;1;0;1
SAP_C_2942_2024;1;0;0;0;1;0;0;0;1;0;0
SAP_C_2949_2024;0;0;0;1;0;0;0;0;1;0;1
SAP_C_3233_2024;1;1;0;0;0;1;1;0;1;0;0
SAP_C_3410_2024;1;1;0;0;0;0;0;0;1;0;1
SAP_C_891_2025;0;0;0;1;0;0;0;0;1;0;1
SAP_C_976_2025;1;0;0;0;0;0;0;0;1;0;1
SAP_GC_17_2025;0;1;0;0;0;0;0;0;0;1;0
SAP_GC_221_2025;0;1;0;0;0;0;0;0;1;0;1
SAP_GI_100_2025;1;1;0;0;0;0;0;0;1;0;1
SAP_GR_548_2025;1;0;0;0;0;0;0;0;1;0;0
SAP_GR_950_2025;0;0;0;1;0;0;0;0;1;0;1
SAP_GU_296_2025;1;0;0;0;0;1;1;0;1;0;0
SAP_GU_684_2024;1;1;0;0;0;0;0;0;1;0;1
SAP_GU_94_2025;0;1;0;0;0;0;0;0;0;1;1
SAP_H_245_2025;0;1;1;0;1;0;0;0;1;0;1
SAP_H_394_2025;1;0;0;0;0;1;1;0;1;0;1
SAP_H_718_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_IB_1348_2025;0;0;0;1;1;0;1;0;0;1;0
SAP_IB_53_2025;1;1;1;0;0;0;1;0;1;0;0
SAP_IB_53_2025 (1);1;1;1;0;0;0;1;0;1;0;0
SAP_IB_70_2025;1;1;0;0;0;0;0;0;0;1;1
SAP_IB_748_2025;1;0;0;1;0;0;1;0;1;0;1
SAP_IB_785_2025;1;0;0;1;0;1;1;0;1;0;0
SAP_IB_7_2025;1;1;0;0;0;0;1;0;1;0;1
SAP_IB_968_2025;1;1;0;0;0;1;0;1;1;0;0
SAP_IB_989_2025;1;0;0;1;0;0;1;0;0;1;0
SAP_J_966_2025;1;1;0;0;0;0;0;0;0;1;1
SAP_LE_313_2025;0;0;0;0;0;1;1;0;1;0;1
SAP_LU_313_2025;1;1;0;0;0;1;1;0;0;1;1
SAP_L_125_2025;0;1;0;1;0;0;0;0;0;1;0
SAP_L_162_2025;0;0;0;1;1;0;1;0;1;0;1
SAP_L_491_2025;0;1;1;0;0;0;1;0;1;0;0
SAP_L_492_2025;0;1;0;0;0;0;0;1;1;0;1
SAP_L_500_2025;0;0;0;1;0;0;0;0;0;1;0
SAP_MA_1269_2025;1;1;0;0;0;1;1;0;1;0;0
SAP_MA_1728_2025;0;1;1;0;0;1;1;0;1;0;1
SAP_MA_1944_2025;1;1;1;0;0;0;1;0;1;0;1
SAP_MA_2482_2025;1;1;1;0;0;0;1;0;0;1;1
SAP_MA_648_2025;1;0;0;0;0;1;1;0;1;0;0
SAP_MA_911_2025;1;1;0;0;0;1;1;0;1;0;1
SAP_ML_88_2025;1;0;0;0;0;1;1;0;1;0;0
SAP_MU_1296_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_MU_712_2025;0;1;0;0;0;0;0;1;1;0;1
SAP_M_16792_2024;0;1;0;0;1;0;1;0;1;0;1
SAP_M_16797_2024;1;1;0;0;0;0;0;0;1;0;1
SAP_M_16832_2024;1;0;0;0;0;1;1;0;1;0;0
SAP_M_17539_2024;0;1;0;0;0;0;0;0;1;0;1
SAP_M_17561_2024;1;0;0;0;0;1;1;0;1;0;1
SAP_M_17695_2024;0;1;0;0;0;0;0;0;1;0;1
SAP_M_17990_2024;1;0;0;0;0;1;1;0;1;0;1
SAP_M_17997_2024;1;0;0;1;0;1;1;0;0;1;0
SAP_M_2032_2025;0;0;0;1;0;1;1;0;1;0;1
SAP_M_2374_2025;1;0;0;0;1;1;0;0;1;0;1
SAP_M_2731_2025;1;1;0;0;0;0;1;0;1;0;0
SAP_M_2812_2025;1;0;0;1;0;1;1;0;1;0;0
SAP_M_2975_2025;1;0;0;0;0;1;1;0;1;0;0
SAP_M_3452_2025;1;0;0;0;0;1;1;0;1;0;1
SAP_M_3457_2025;1;1;0;0;0;0;0;0;1;0;1
SAP_M_3587_2025;0;1;0;0;0;0;0;0;0;1;1
SAP_M_4472_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_M_4859_2025;0;1;0;0;0;0;0;0;1;0;1
SAP_M_5531_2025;1;1;0;0;0;1;0;0;1;0;1
SAP_M_6163_2025;1;1;0;0;0;0;1;0;1;0;1
SAP_M_6759_2025;0;0;0;0;0;0;0;0;1;0;1
SAP_M_6822_2025;0;0;0;1;0;1;1;0;1;0;0
SAP_M_6978_2025;1;0;0;0;0;0;1;0;1;0;1
SAP_M_7015_2025;1;1;0;0;0;1;0;0;1;0;0
SAP_M_7671_2025;1;1;0;0;0;0;0;0;1;0;1
SAP_M_7690_2025;1;1;0;0;0;0;0;0;1;0;1
SAP_M_78_2025;1;1;1;0;0;0;0;0;1;0;1
SAP_M_8160_2025;0;1;0;0;0;0;0;0;0;1;0
SAP_M_8278_2025;0;1;0;0;0;0;0;0;1;0;1
SAP_M_8438_2025;1;0;0;1;0;1;1;0;1;0;0
SAP_M_881_2025;0;0;0;0;0;0;0;0;1;0;0
SAP_M_8914_2025;0;1;0;0;0;0;0;0;1;0;1
SAP_M_9039_2025;0;0;0;0;1;0;0;0;1;0;0
SAP_NA_1053_2025;1;1;1;0;0;0;0;0;1;0;1
SAP_NA_1386_2025;0;0;0;1;0;1;1;0;0;1;0
SAP_OU_69_2025;1;0;0;0;1;1;1;0;1;0;1
SAP_O_1069_2025;1;0;0;0;0;1;1;0;1;0;0
SAP_O_4122_2024;0;0;0;0;0;0;1;0;1;0;0
SAP_O_4320_2024;1;1;0;0;0;0;0;0;1;0;1
SAP_O_4536_2024;1;0;0;1;0;1;1;0;1;0;1
SAP_O_788_2025;1;0;0;0;0;0;1;0;0;1;0
SAP_PO_1082_2025;1;1;1;0;0;1;0;0;1;0;1
SAP_PO_1144_2025;0;0;0;1;0;0;0;0;0;1;0
SAP_PO_1304_2025;0;1;0;0;1;0;0;0;1;0;1
SAP_PO_1545_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_PO_243_2025;1;0;0;0;0;1;1;0;1;0;0
SAP_PO_2853_2024;1;1;0;0;0;0;0;0;0;1;1
SAP_PO_524_2025;1;1;1;0;0;0;0;0;1;0;1
SAP_PO_687_2025;1;0;1;0;0;1;1;0;1;0;1
SAP_PO_788_2025;0;1;0;0;1;0;0;0;1;0;1
SAP_PO_798_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_PO_962_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_SA_841_2024;0;1;0;0;0;0;1;0;0;1;1
SAP_SE_1166_2025;1;1;0;0;0;0;0;0;0;1;1
SAP_SE_1180_2025;0;1;1;0;1;0;0;0;1;0;0
SAP_SE_495_2025;0;1;1;0;0;0;0;0;0;1;1
SAP_SE_964_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_SO_269_2025;0;1;1;1;0;1;0;0;1;0;1
SAP_SS_241_2025;1;0;1;0;0;1;1;0;1;0;0
SAP_S_1479_2025;0;1;0;0;0;0;0;0;0;1;1
SAP_S_2172_2024;1;0;0;0;0;0;1;0;1;0;0
SAP_S_796_2025;1;1;0;0;0;1;1;0;1;0;1
SAP_S_876_2025;0;1;1;0;0;0;0;0;1;0;1
SAP_TF_122_2025;1;1;0;0;0;0;0;0;1;0;1
SAP_TO_1056_2024;0;1;1;1;1;0;0;0;1;0;0
SAP_TO_213_2025;0;1;0;0;1;0;0;0;0;1;1
SAP_TO_265_2025;1;0;0;0;0;0;0;0;1;0;0
SAP_T_744_2025;0;1;0;0;0;0;0;0;1;0;1
SAP_T_927_2025;0;1;0;0;0;0;0;0;0;1;0
SAP_VA_121_2025;0;0;0;0;0;0;0;1;1;0;0
SAP_VA_519_2025;1;1;0;0;0;0;0;0;1;0;1
SAP_VA_93_2025;1;1;0;0;0;0;0;0;1;0;0
SAP_VI_166_2025;0;1;0;0;0;1;0;0;1;0;1
SAP_VI_821_2025;0;1;0;0;0;0;0;1;1;0;1
SAP_V_173_2025;1;1;0;0;0;1;0;0;1;0;0
SAP_V_2718_2024;0;1;0;0;0;0;1;0;1;0;1
SAP_Z_1314_2025;1;0;0;1;0;1;0;0;0;1;0
SAP_Z_1512_2025;1;0;0;0;0;0;0;0;0;1;1
SAP_Z_275_2025;0;1;0;1;0;0;1;0;1;0;0
SAP_Z_688_2025;0;0;0;0;0;0;0;0;0;1;0
SAP_Z_76_2025;0;1;0;1;0;0;0;0;1;0;1
SAP_Z_791_2025;0;0;0;0;0;0;0;0;1;0;0
SAP_Z_897_2025;0;1;0;1;0;0;0;0;1;0;0
